,Bid,Ask
2018-06-29 14:55:05.616,1.16642,1.1664299999999999
2018-06-29 14:55:06.136,1.16642,1.16644
2018-06-29 14:55:06.270,1.16642,1.1664299999999999
2018-06-29 14:55:06.471,1.16641,1.1664299999999999
2018-06-29 14:55:06.581,1.16642,1.16644
2018-06-29 14:55:06.598,1.16644,1.16644
2018-06-29 14:55:06.608,1.16646,1.16644
2018-06-29 14:55:06.610,1.16646,1.16646
2018-06-29 14:55:06.615,1.16645,1.16646
2018-06-29 14:55:06.643,1.16645,1.1664700000000001
2018-06-29 14:55:06.665,1.16646,1.1664700000000001
2018-06-29 14:55:06.676,1.16645,1.1664700000000001
2018-06-29 14:55:06.789,1.16646,1.1664700000000001
2018-06-29 14:55:06.823,1.16646,1.16648
2018-06-29 14:55:07.141,1.16646,1.1664700000000001
2018-06-29 14:55:07.373,1.16646,1.16648
2018-06-29 14:55:07.487,1.1664700000000001,1.16649
2018-06-29 14:55:07.491,1.16648,1.16649
2018-06-29 14:55:07.494,1.1664700000000001,1.16649
2018-06-29 14:55:07.504,1.16649,1.16649
2018-06-29 14:55:07.506,1.16649,1.1665
2018-06-29 14:55:07.519,1.16649,1.16649
2018-06-29 14:55:07.523,1.16649,1.16648
2018-06-29 14:55:07.528,1.16648,1.16648
2018-06-29 14:55:07.530,1.16648,1.1664700000000001
2018-06-29 14:55:07.555,1.16646,1.1664700000000001
2018-06-29 14:55:07.593,1.16645,1.1664700000000001
2018-06-29 14:55:07.596,1.16645,1.16646
2018-06-29 14:55:07.994,1.16645,1.16645
2018-06-29 14:55:07.998,1.16645,1.16646
2018-06-29 14:55:08.001,1.16645,1.16645
2018-06-29 14:55:08.006,1.16645,1.16646
2018-06-29 14:55:08.111,1.16646,1.16646
2018-06-29 14:55:08.113,1.16645,1.16646
2018-06-29 14:55:08.182,1.16644,1.16645
2018-06-29 14:55:08.190,1.16644,1.1664299999999999
2018-06-29 14:55:08.213,1.1664299999999999,1.1664299999999999
2018-06-29 14:55:08.232,1.1664299999999999,1.16644
2018-06-29 14:55:08.234,1.16644,1.16645
2018-06-29 14:55:08.239,1.16645,1.16645
2018-06-29 14:55:08.251,1.16645,1.1664700000000001
2018-06-29 14:55:08.259,1.16646,1.1664700000000001
2018-06-29 14:55:08.300,1.16646,1.16648
2018-06-29 14:55:08.315,1.16648,1.16648
2018-06-29 14:55:08.319,1.16648,1.16649
2018-06-29 14:55:08.341,1.1664700000000001,1.16649
2018-06-29 14:55:08.344,1.1664700000000001,1.16648
2018-06-29 14:55:08.367,1.1664700000000001,1.16649
2018-06-29 14:55:08.381,1.1664700000000001,1.1665
2018-06-29 14:55:08.387,1.1664700000000001,1.16649
2018-06-29 14:55:08.391,1.16648,1.1665
2018-06-29 14:55:08.395,1.16648,1.16649
2018-06-29 14:55:08.418,1.16648,1.16648
2018-06-29 14:55:08.431,1.16648,1.1665
2018-06-29 14:55:08.434,1.1665,1.16648
2018-06-29 14:55:08.441,1.16651,1.16648
2018-06-29 14:55:08.458,1.16651,1.16651
2018-06-29 14:55:08.527,1.16651,1.16652
2018-06-29 14:55:08.586,1.16651,1.1665299999999998
2018-06-29 14:55:08.600,1.1665,1.1665
2018-06-29 14:55:08.606,1.1665,1.16649
2018-06-29 14:55:08.613,1.1665,1.16648
2018-06-29 14:55:08.617,1.1665,1.1665
2018-06-29 14:55:08.619,1.16649,1.1665
2018-06-29 14:55:08.658,1.16648,1.1665
2018-06-29 14:55:08.661,1.16649,1.1665
2018-06-29 14:55:08.845,1.16648,1.1665
2018-06-29 14:55:08.852,1.16648,1.16649
2018-06-29 14:55:09.027,1.16649,1.16649
2018-06-29 14:55:09.029,1.16648,1.16649
2018-06-29 14:55:09.041,1.16648,1.1665
2018-06-29 14:55:09.066,1.16648,1.16649
2018-06-29 14:55:09.132,1.16649,1.16649
2018-06-29 14:55:09.134,1.16648,1.16649
2018-06-29 14:55:09.550,1.16649,1.16649
2018-06-29 14:55:09.552,1.16649,1.1665
2018-06-29 14:55:09.565,1.16649,1.16651
2018-06-29 14:55:09.568,1.1665,1.16651
2018-06-29 14:55:09.574,1.16649,1.16651
2018-06-29 14:55:09.584,1.16649,1.16652
2018-06-29 14:55:09.597,1.1665,1.16652
2018-06-29 14:55:09.664,1.16651,1.1665299999999998
2018-06-29 14:55:10.574,1.16652,1.1665299999999998
2018-06-29 14:55:10.670,1.16652,1.16654
2018-06-29 14:55:10.674,1.16652,1.1665299999999998
2018-06-29 14:55:10.759,1.16652,1.16654
2018-06-29 14:55:10.761,1.16654,1.16654
2018-06-29 14:55:10.778,1.1665299999999998,1.16654
2018-06-29 14:55:10.784,1.16654,1.16654
2018-06-29 14:55:10.798,1.16654,1.16655
2018-06-29 14:55:10.862,1.16654,1.16656
2018-06-29 14:55:10.912,1.16654,1.16655
2018-06-29 14:55:10.941,1.16654,1.16656
2018-06-29 14:55:11.008,1.16655,1.16656
2018-06-29 14:55:11.014,1.16656,1.16657
2018-06-29 14:55:11.016,1.16656,1.16658
2018-06-29 14:55:11.020,1.16657,1.16658
